username;password;first name;last name;email;city;maildisplay;course;group
fizms-22024AMDanilov;9441;Артём Максимович;Данилов;fizms-22024AMDanilov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024PEPankov;7147;Платон Эмильевич;Панков;fizms-22024PEPankov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024KMMihajlova;1821;Ксения Матвеевна;Михайлова;fizms-22024KMMihajlova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AEPavlova;0182;Амина Елисеевна;Павлова;fizms-22024AEPavlova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024ARAkimova;1253;Арина Робертовна;Акимова;fizms-22024ARAkimova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VAVasil'eva;7712;Вероника Александровна;Васильева;fizms-22024VAVasil'eva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MTSokolov;2257;Михаил Тимофеевич;Соколов;fizms-22024MTSokolov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024IDAbramov;1889;Иван Дмитриевич;Абрамов;fizms-22024IDAbramov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024EAPetrova;7899;Екатерина Александровна;Петрова;fizms-22024EAPetrova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MDD'jakonova;4258;Маргарита Денисовна;Дьяконова;fizms-22024MDD'jakonova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AAShirokov;9434;Александр Алексеевич;Широков;fizms-22024AAShirokov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMLavrova;3172;Амалия Михайловна;Лаврова;fizms-22024AMLavrova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024PSKovaleva;0139;Полина Святославовна;Ковалева;fizms-22024PSKovaleva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MAPoljakov;0200;Мирон Алексеевич;Поляков;fizms-22024MAPoljakov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMTimofeev;1290;Артемий Матвеевич;Тимофеев;fizms-22024AMTimofeev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024PMKorolev;9383;Платон Матвеевич;Королев;fizms-22024PMKorolev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SDVolkova;3948;Софья Данииловна;Волкова;fizms-22024SDVolkova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024EDSafonova;2298;Екатерина Данииловна;Сафонова;fizms-22024EDSafonova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024FSZaharova;5499;Фатима Семёновна;Захарова;fizms-22024FSZaharova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024KLLebedeva;3899;Ксения Львовна;Лебедева;fizms-22024KLLebedeva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024EETihonova;5724;Ева Егоровна;Тихонова;fizms-22024EETihonova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VISuhanova;5462;Вера Ивановна;Суханова;fizms-22024VISuhanova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VTGusev;0659;Владимир Тимофеевич;Гусев;fizms-22024VTGusev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VAMakarova;9038;Виктория Александровна;Макарова;fizms-22024VAMakarova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024APVinogradova;7806;Алиса Платоновна;Виноградова;fizms-22024APVinogradova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AESoboleva;1474;Анастасия Елисеевна;Соболева;fizms-22024AESoboleva@fiztest.gsu.by;Гомель;0;3;MS-2
